TEAM,POSTSEASON,YEAR
Texas A&M,NA,1
Abilene Christian,NA,1
Central Arkansas,NA,1
Houston Baptist,NA,1
Incarnate Word,NA,1
Lamar,NA,1
McNeese St.,NA,1
Nicholls St.,NA,1
Northwestern St.,NA,1
Sam Houston St.,NA,1
Southeastern Louisiana,NA,1
Stephen F. Austin,NA,1
Texas A&M Corpus Chris,NA,1
Denver,NA,1
Fort Wayne,NA,1
IUPUI,NA,1
Nebraska Omaha,NA,1
North Dakota St.,NA,1
Oral Roberts,NA,1
South Dakota,NA,1
Western Illinois,NA,1
Alabama A&M,NA,1
Alabama St.,NA,1
Alcorn St.,NA,1
Arkansas Pine Bluff,NA,1
Grambling St.,NA,1
Jackson St.,NA,1
Mississippi Valley St.,NA,1
Prairie View A&M,NA,1
Southern,NA,1
Cal St. Bakersfield,NA,1
Chicago St.,NA,1
Grand Canyon,NA,1
Seattle,NA,1
UMKC,NA,1
UT Rio Grande Valley,NA,1
Utah Valley,NA,1
BYU,NA,1
Loyola Marymount,NA,1
Pacific,NA,1
Pepperdine,NA,1
Portland,NA,1
San Diego,NA,1
San Francisco,NA,1
Santa Clara,NA,1
Rhode Island,Round_Of_32,1
Duke,Round_Of_32,1
Florida St.,Round_Of_32,1
Louisville,Round_Of_32,1
Notre Dame,Round_Of_32,1
Virginia,Round_Of_32,1
Cincinnati,Round_Of_32,1
Michigan St.,Round_Of_32,1
Northwestern,Round_Of_32,1
Iowa St.,Round_Of_32,1
Villanova,Round_Of_32,1
Middle Tennessee,Round_Of_32,1
Wichita St.,Round_Of_32,1
USC,Round_Of_32,1
Arkansas,Round_Of_32,1
Saint Mary's,Round_Of_32,1
Dayton,Round_Of_64,1
VCU,Round_Of_64,1
Miami FL,Round_Of_64,1
Virginia Tech,Round_Of_64,1
Vermont,Round_Of_64,1
SMU,Round_Of_64,1
Florida Gulf Coast,Round_Of_64,1
Maryland,Round_Of_64,1
Minnesota,Round_Of_64,1
Kansas St.,Round_Of_64,1
Oklahoma St.,Round_Of_64,1
Creighton,Round_Of_64,1
Marquette,Round_Of_64,1
Seton Hall,Round_Of_64,1
North Dakota,Round_Of_64,1
Winthrop,Round_Of_64,1
UC Davis,Round_Of_64,1
UNC Wilmington,Round_Of_64,1
Northern Kentucky,Round_Of_64,1
Princeton,Round_Of_64,1
Iona,Round_Of_64,1
Kent St.,Round_Of_64,1
Nevada,Round_Of_64,1
Mount St. Mary's,Round_Of_64,1
Jacksonville St.,Round_Of_64,1
Bucknell,Round_Of_64,1
Troy,Round_Of_64,1
East Tennessee St.,Round_Of_64,1
Vanderbilt,Round_Of_64,1
South Dakota St.,Round_Of_64,1
Texas Southern,Round_Of_64,1
New Mexico St.,Round_Of_64,1
Wake Forest,Round_Of_68,1
Providence,Round_Of_68,1
North Carolina Central,Round_Of_68,1
New Orleans,Round_Of_68,1
Michigan,Round_Of_16,1
Purdue,Round_Of_16,1
Wisconsin,Round_Of_16,1
Baylor,Round_Of_16,1
West Virginia,Round_Of_16,1
Butler,Round_Of_16,1
Arizona,Round_Of_16,1
UCLA,Round_Of_16,1
